gene_id	fpkm_TP53_1	fpkm_TP53_2	fpkm_TP53_3	fpkm_TertTP53_1	fpkm_TertTP53_2	fpkm_TertTP53_3	fpkm_Tert_1	fpkm_Tert_2	fpkm_Tert_3	fpkm_WT_1	fpkm_WT_2	fpkm_WT_3
368488	21.49	5.93	23.94	21.41	26.8	16.16	32.36	33.97	33.29	29.3	26.89	30.73
436871	8.91	8.34	9.02	10.87	7.28	6.34	6.4	8.92	5.82	6	8.97	9.11
415158	162.71	453.4	204.82	249.57	158.29	191.14	185.96	208.14	181.21	213.99	190.49	214.09
100329397	25.88	13.33	29.55	31.89	28.78	23.16	27.41	30.05	15.15	39.6	28.19	26.67
114442	24.32	16.24	18.72	35.22	29.75	18.79	19.42	23.31	14.76	24.65	22.47	27.95
553498	7.11	9.48	4.96	5.58	6.81	6.09	5.9	6.03	8.8	5.7	4.86	4.06
100005729	0	0	0	0.03	0	0	0.01	0.06	0.18	0	0	0
767766	5.2	5.61	3.94	4.84	4.24	7.16	4.3	8.63	5.75	3.77	4.34	2.49
568201	0.63	0	0.52	1.06	0.48	0.29	0.5	1.15	0.7	0.52	1.14	0.82
114465	0.03	0	0.22	0.05	0	0	0.09	1.97	0.64	0.27	0.11	0
556301	0.43	0.46	0.65	0.29	0.07	0.69	0.25	0.26	0.1	0.56	0.45	0
436967	10.88	5.78	4.49	4.26	4.87	10.28	4.43	7.19	4.12	5.18	3.56	5.22
447908	0.09	0.21	0.08	0.55	0.35	0.03	2.41	1.99	4.02	0.68	0.66	0.21
795671	0	0	0.03	0.03	0	0	0	0	0.13	0	0	0
100150046	1.96	0	0.2	0	3.24	0	0	0.18	0.99	1.93	4.39	2.64
447825	3.33	8.71	5.51	6.65	6.85	2.94	4.99	10.7	6.06	6.11	4.65	7.62
100499203	6.24	5.71	6.98	6.19	5.92	6.52	6.9	6.06	4.87	5.66	6.46	4.96
436888	8.26	11.48	11.82	8.66	11.29	13.43	8.15	9.37	7.29	14.7	10.48	9.55
108179154	0.29	0	0.17	1.07	0.73	0.78	0.79	0.53	0.81	1.23	0.92	1.2
568603	100.94	70.89	101.47	119.24	121.1	76.69	93.33	86.44	74.03	119.14	114.45	100.14
387600	6.42	6.12	6.16	5.11	6.52	6.48	7.47	8.94	6.72	6.74	6.4	6.41
559290	1.5	1.84	2.59	4.06	2.48	1.96	1.55	4.16	1.44	3.67	4.22	4.21
394213	2.94	2.13	2.51	2.76	2.1	2.32	2.98	2.41	6.35	2.09	1.82	2.2
322453	0	0.84	0.2	0	0	0	0	0.28	0.28	0	0	0.27
562245	2.21	4.99	3.34	4.21	3.99	2.66	2.18	3.97	4.69	2.88	1.89	3.46
101885514	0	0	0.16	0.52	0.27	0	0.03	0.44	0.52	0.84	0.18	0.14
406632	22.37	42.16	26.28	16.48	16.29	28.41	22.39	16.2	21.24	17.23	19.09	17.43
30208	0	0	0	0	0	0	0.08	0.06	0.04	0.25	0.02	0.02
541318	8.6	13.16	8.6	10.77	9.55	10.67	8.77	14.05	10.16	9.13	8.67	11.01
570504	16.25	2.38	9.99	23.2	26.85	7.89	7.08	14.97	9.43	14.98	9.28	23.62
107990272	0	0	0	0	0	0	0	0.04	0.23	0.22	0.17	0
101885045	0.45	0.02	0.14	0.04	0.1	0.14	0.09	0.16	1.19	0.12	0.16	0.18
556103	47.7	53.64	49.9	49.79	46.12	49.8	39.62	36.97	29.95	48.05	43.64	49.7
560703	1.44	0.08	0.89	2.55	1.41	0.29	0.6	1.35	1.28	1.49	0.74	2.8
100004247	0	0	0	0.06	0.18	0	0.23	0	0	0.05	0.06	0
561211	0	0	0.03	0	0	0	1.09	0.23	0.67	0	0	0
110439018	0	0.06	0.24	0.23	0.17	0.11	0	0.1	0.2	0	0.41	0.17
100001293	47.66	63.22	53.39	29.88	30.82	65	42.89	38.19	38.31	36.31	47.7	35.24
751733	4.55	0.24	4.88	6.36	5.87	4.61	6.09	5.16	3.65	5.54	6.03	3.53
563814	7.73	7.2	8.27	8.01	9.06	8.49	9.52	8.25	11.47	10.33	11.22	9.95
100148254	1.81	2.02	0.53	0.9	2.59	2.18	1.25	7.73	6.08	2.1	1.5	1.21
794519	0.05	0.28	0.1	0.27	0.15	0	0.14	0.34	0.05	0.28	0	0.14
791773	0.11	0	0.03	0.03	0.05	0.08	0.08	0.03	0.05	0	0.05	0.2
100003291	17.57	1.35	15.19	2.94	3.57	15.46	15.41	3.6	5.42	2.6	5.8	4.26
550502	9.65	2.05	9.62	9.6	11.28	4.49	11.15	9.32	13.39	7.76	8.19	12.06
442869	15.24	8.66	13.27	13.54	16.61	12.44	11.76	12.25	11.5	14.23	13.23	11.75
541348	120.31	168.3	141.59	91.16	85.75	149.93	73.87	79.07	66.13	104.09	105.13	91.29
101883120	0	0	0	0	0	0	0.02	0.08	0	0.02	0	0
100002454	5.19	0.71	7.43	7.52	11.66	4.5	9.4	8.32	11.17	13.3	10.93	10.2
323452	49.23	58.93	41.52	54.91	66.3	52.35	43.82	46.98	72.04	42.58	40.02	38.31
100004296	0.23	0	0.69	0.15	0.22	0.15	0.42	0.68	0.94	0.3	0.42	1.59
553960	0	1.72	0	0	0	0.35	0.17	0	0.36	0	0	0
555591	0	0	0.16	0.11	0.12	0.55	0.27	0.1	0.19	0.06	0.03	0.06
569893	3.14	10.44	4.31	0.49	1.88	1.42	0.45	1.5	2.55	0.14	7.32	6.47
100006583	0.18	0	0.03	0	0.06	0	0.1	0.1	0.09	0	0	0
393313	36.34	44.32	43.94	50.58	35.74	47.13	33.9	44.22	33.15	47.68	40.87	46.57
327625	0.07	0.95	0	1.34	0.03	0	0	1.26	0.2	0.6	0.03	0.1
100150849	35.93	33.21	30.32	14.94	13.14	48.78	23.25	20.79	12.09	12.4	20.59	21.12
558170	24.79	35.34	34.78	32.41	26.68	34.98	21.36	36.16	19.1	26.6	18.42	23.45
393175	2.05	2.49	3.13	2.28	3.44	2.31	3.97	6.29	8.18	2.98	3.58	3.07
550550	9.34	11.85	7.89	11.41	7.7	10.72	6.83	8.42	6.25	10.01	9.47	9.18
568954	16.75	0.94	15	6.95	9.01	14.95	19.25	7.73	8.67	10.2	10.66	11.18
