gene_id	fpkm_TP53_1	fpkm_TP53_2	fpkm_TP53_3	fpkm_TertTP53_1	fpkm_TertTP53_2	fpkm_TertTP53_3	fpkm_Tert_1	fpkm_Tert_2	fpkm_Tert_3	fpkm_WT_1	fpkm_WT_2	fpkm_WT_3
ENSDARG00000000001	8.47	5.51	5.9	3.87	7.2	8.86	5.43	6.02	3.79	5.36	6.19	9.26
ENSDARG00000000002	3.3	0.36	2.23	3.06	1.32	0.96	1.49	6.41	3.03	1.55	1.35	1.37
ENSDARG00000000018	14.6	21.45	13.15	11.67	11.48	20.76	15.44	10.6	11.63	8.07	11.34	10.37
ENSDARG00000000019	38.41	20.74	44.3	42.15	48.59	40.86	50.07	38.2	43.52	32.12	47.22	43.26
ENSDARG00000000068	9.14	8.01	10.44	3.68	4.49	7.32	13.52	10.61	8.35	7.66	12.03	8.73
ENSDARG00000000069	73.21	73.62	70.26	75.05	73.72	63.85	51.77	119.88	77.11	68.18	62.24	88.28
ENSDARG00000000086	22.61	9.93	24.46	24.49	34.51	19.43	28.34	23.14	27.19	30.47	26.44	29.81
ENSDARG00000000103	35.26	13.03	30.15	48.26	42.02	24.96	37.05	33.54	22.99	36.59	32.01	36.23
ENSDARG00000000142	10.63	3.35	9.47	13.03	13.49	7.91	12.42	20.78	15.11	19.45	12.3	20.05
ENSDARG00000000151	3.82	4.7	6.35	5.89	7.2	8.2	4.66	5.41	6.09	7.08	6.57	5.71
ENSDARG00000000161	3.95	3.53	3.31	4.99	6.23	3.48	3.62	4.06	3.75	5.01	4.58	6.04
ENSDARG00000000175	5.49	3.95	2.86	0.13	0.04	0.52	5.62	1.02	4.92	5	0.24	4.99
ENSDARG00000000183	25.68	18.43	28.01	28.25	27.39	28.97	19.71	19.51	16.61	24.01	25.63	24.45
ENSDARG00000000189	14.75	0.98	11.99	18.02	25.32	6.71	20.85	21.11	27.6	26.19	19.08	25.29
ENSDARG00000000212	3.91	199.55	0.54	20.73	0.05	2.89	476.84	10.17	2600.76	0.41	3.27	1.22
ENSDARG00000000229	6.05	0.56	4.21	4.07	5.8	4.62	4.67	5.18	5.73	3.2	5.93	5.41
ENSDARG00000000241	15.02	10.63	15.56	16.32	13.5	20.4	16.7	15.92	14.48	14.75	12.48	16.9
ENSDARG00000000349	0.84	0	0.7	0.64	0.84	0.17	0.33	0.91	0.51	0.79	0.25	2.39
ENSDARG00000000369	0	0	0.18	0.13	0	0.06	0.28	0.17	0.4	0	0.23	0
ENSDARG00000000370	28.88	10.19	24.61	25.73	34.18	28.2	25.05	22.02	16.58	27.03	25.63	33.36
ENSDARG00000000380	0.52	0	0.26	0.85	0.25	0.46	0.5	0.53	0.33	0.46	21.58	0.65
ENSDARG00000000394	31.33	30.27	33.9	31.15	35.26	31.3	26.28	27.77	24.72	29.62	28.61	25.44
ENSDARG00000000423	7	5.92	6.27	7.87	11.2	11.47	7.28	10.9	7.94	11	10.19	8.64
ENSDARG00000000442	4.04	1.96	5.87	6.33	9.12	4.37	7.95	10.59	7.45	7.09	7.64	6.22
ENSDARG00000000460	1.2	0	0.18	1.18	0.27	0.26	0.18	0.12	0.22	0.65	0.25	0
ENSDARG00000000472	8.56	1.93	9.48	11.86	14.72	5.28	13.83	13.58	9.05	17.36	15.35	15.91
ENSDARG00000000474	0	0	0	0	0	0	0	0	0	0	0	0.06
ENSDARG00000000476	1.4	0.92	1.53	1.39	1.3	2.01	1.46	1.81	1.91	1.6	1.51	1.22
ENSDARG00000000489	11.98	12.56	9.15	9.89	15.35	11.08	10.58	12.58	15.4	9.29	8.74	10.63
