gene_id	tpm_WT_1	tpm_WT_2	tpm_WT_3	tpm_TertTP53_1	tpm_TertTP53_2	tpm_TertTP53_3
ENSDARG00000000001	10.98	12.62	18.65	8.22	15.27	17.44
ENSDARG00000000002	3.17	2.76	2.76	6.5	2.79	1.89
ENSDARG00000000018	16.51	23.14	20.9	24.81	24.34	40.86
ENSDARG00000000019	65.74	96.31	87.14	89.6	102.99	80.44
ENSDARG00000000068	15.69	24.54	17.58	7.82	9.51	14.42
ENSDARG00000000069	139.56	126.96	177.82	159.53	156.23	125.7
ENSDARG00000000086	62.37	53.93	60.04	52.07	73.14	38.25
ENSDARG00000000103	74.9	65.29	72.97	102.58	89.06	49.14
ENSDARG00000000142	39.81	25.09	40.39	27.7	28.59	15.58
ENSDARG00000000151	14.5	13.39	11.51	12.52	15.27	16.15
ENSDARG00000000161	10.25	9.33	12.17	10.61	13.21	6.85
ENSDARG00000000175	10.24	0.5	10.06	0.29	0.09	1.02
ENSDARG00000000183	49.15	52.27	49.26	60.05	58.06	57.04
ENSDARG00000000189	53.61	38.92	50.95	38.3	53.67	13.21
ENSDARG00000000212	0.84	6.67	2.46	44.07	0.11	5.69
ENSDARG00000000229	6.55	12.1	10.9	8.65	12.3	9.09
ENSDARG00000000241	30.19	25.45	34.04	34.7	28.62	40.15
ENSDARG00000000349	1.62	0.5	4.82	1.35	1.77	0.34
ENSDARG00000000369	0	0.46	0	0.27	0	0.12
ENSDARG00000000370	55.33	52.28	67.19	54.69	72.44	55.51
ENSDARG00000000380	0.94	44.02	1.31	1.8	0.52	0.9
ENSDARG00000000394	60.63	58.36	51.24	66.22	74.73	61.62
ENSDARG00000000423	22.51	20.78	17.41	16.73	23.75	22.58
ENSDARG00000000442	14.51	15.58	12.54	13.45	19.33	8.61
ENSDARG00000000460	1.33	0.5	0	2.5	0.56	0.51
ENSDARG00000000472	35.54	31.31	32.04	25.22	31.21	10.39
ENSDARG00000000474	0	0	0.12	0	0	0
ENSDARG00000000476	3.28	3.08	2.45	2.95	2.75	3.96
ENSDARG00000000489	19.02	17.83	21.4	21.02	32.53	21.81
ENSDARG00000000503	342.63	312.53	266.92	240.18	261.22	170.71
ENSDARG00000000516	0.13	0.31	0.3	0.32	0.37	0.25
ENSDARG00000000529	9.48	10.65	8.1	11.68	11.59	12.69
ENSDARG00000000540	25.54	28.52	22.82	31.89	26.59	24.66
ENSDARG00000000542	20.45	20.11	22.5	20.98	21.5	21.19
ENSDARG00000000551	54.21	48.95	76.26	62.49	71.92	43.64
ENSDARG00000000563	0.12	0.17	0.04	0.53	0.07	0.18
ENSDARG00000000567	5.43	7.75	6.18	7.35	8.05	7.39
ENSDARG00000000568	26.35	35.65	24.56	34.72	30.83	60.49
ENSDARG00000000588	9.58	6.78	15.36	13.38	13.45	6.01
ENSDARG00000000606	1.68	1.2	2.02	2.27	1.17	0.26
ENSDARG00000000631	23.06	37	30.58	19.48	32.34	43.93
ENSDARG00000000638	0	0.45	0	0	0	0
ENSDARG00000000651	4.52	5.01	4.05	7.19	5.64	3.42
ENSDARG00000000656	4.24	4.53	4.74	6.36	7.09	6.08
ENSDARG00000000666	58.75	45.89	60.35	74.66	62.3	25.86
ENSDARG00000000690	2.49	3.14	3.62	2.9	2.45	1.48
ENSDARG00000000729	10.43	15.41	11.64	18.26	22.76	25.43
ENSDARG00000000730	11.62	14.42	13.24	12.6	7.94	4.02
ENSDARG00000000747	2.31	1.57	4.15	1.29	1.86	2.06
ENSDARG00000000760	11.65	10.58	10.74	10.67	11.15	19.08
ENSDARG00000000767	23.52	15.13	16.42	17.04	27.42	8.67
ENSDARG00000000779	47.88	54.73	49.32	47.18	51.05	47.28
ENSDARG00000000796	31.25	19.74	83.5	34.9	24.59	17.84
