ensembl_gene_id	tpm_Tert_1	tpm_Tert_2	tpm_Tert_3	tpm_TertTP53_1	tpm_TertTP53_2	tpm_TertTP53_3
ENSDARG00000000001	11.1	11.8	7.39	8.22	15.27	17.44
ENSDARG00000000002	3.05	12.55	5.9	6.5	2.79	1.89
ENSDARG00000000018	31.58	20.77	22.64	24.81	24.34	40.86
ENSDARG00000000019	102.41	74.83	84.75	89.6	102.99	80.44
ENSDARG00000000068	27.66	20.79	16.26	7.82	9.51	14.42
ENSDARG00000000069	105.87	234.85	150.15	159.53	156.23	125.7
ENSDARG00000000086	57.97	45.33	52.95	52.07	73.14	38.25
ENSDARG00000000103	75.78	65.72	44.77	102.58	89.06	49.14
ENSDARG00000000142	25.41	40.71	29.42	27.7	28.59	15.58
ENSDARG00000000151	9.53	10.61	11.86	12.52	15.27	16.15
ENSDARG00000000161	7.39	7.94	7.29	10.61	13.21	6.85
ENSDARG00000000175	11.5	2	9.58	0.29	0.09	1.02
ENSDARG00000000183	40.31	38.23	32.34	60.05	58.06	57.04
ENSDARG00000000189	42.64	41.36	53.75	38.3	53.67	13.21
ENSDARG00000000212	975.26	19.91	5064.24	44.07	0.11	5.69
ENSDARG00000000229	9.54	10.14	11.15	8.65	12.3	9.09
ENSDARG00000000241	34.17	31.18	28.19	34.7	28.62	40.15
ENSDARG00000000349	0.67	1.78	0.99	1.35	1.77	0.34
ENSDARG00000000369	0.58	0.34	0.78	0.27	0	0.12
ENSDARG00000000370	51.24	43.14	32.28	54.69	72.44	55.51
ENSDARG00000000380	1.02	1.04	0.65	1.8	0.52	0.9
ENSDARG00000000394	53.76	54.39	48.14	66.22	74.73	61.62
ENSDARG00000000423	14.89	21.36	15.46	16.73	23.75	22.58
ENSDARG00000000442	16.26	20.75	14.51	13.45	19.33	8.61
ENSDARG00000000460	0.37	0.24	0.43	2.5	0.56	0.51
ENSDARG00000000472	28.3	26.61	17.62	25.22	31.21	10.39
ENSDARG00000000474	0	0	0	0	0	0
ENSDARG00000000476	2.98	3.54	3.72	2.95	2.75	3.96
ENSDARG00000000489	21.63	24.64	29.99	21.02	32.53	21.81
ENSDARG00000000503	321.17	180.95	150.8	240.18	261.22	170.71
ENSDARG00000000516	0.17	0.54	0.55	0.32	0.37	0.25
ENSDARG00000000529	9.32	8.35	8.55	11.68	11.59	12.69
ENSDARG00000000540	27.54	27.97	20.82	31.89	26.59	24.66
ENSDARG00000000542	20.29	24.43	20.22	20.98	21.5	21.19
ENSDARG00000000551	47.84	71.97	39.54	62.49	71.92	43.64
ENSDARG00000000563	0.22	0.14	3.08	0.53	0.07	0.18
ENSDARG00000000567	6.5	7.37	7.33	7.35	8.05	7.39
ENSDARG00000000568	50.63	22.4	29.84	34.72	30.83	60.49
ENSDARG00000000588	7.24	12.01	5.21	13.38	13.45	6.01
ENSDARG00000000606	0.64	1.83	1.17	2.27	1.17	0.26
ENSDARG00000000631	36.54	20.71	29.68	19.48	32.34	43.93
ENSDARG00000000638	0	0	0	0	0	0
ENSDARG00000000651	3.46	5.72	2.69	7.19	5.64	3.42
ENSDARG00000000656	13.6	23.14	36.07	6.36	7.09	6.08
ENSDARG00000000666	52.4	68.92	46.43	74.66	62.3	25.86
ENSDARG00000000690	4.09	6.86	4.54	2.9	2.45	1.48
ENSDARG00000000729	16.93	14.22	19.43	18.26	22.76	25.43
ENSDARG00000000730	13.28	11.94	10.47	12.6	7.94	4.02
ENSDARG00000000747	2.76	2.39	2.35	1.29	1.86	2.06
ENSDARG00000000760	12.58	10.55	9.06	10.67	11.15	19.08
ENSDARG00000000767	12.97	34.19	14.91	17.04	27.42	8.67
ENSDARG00000000779	46.97	57.95	39.24	47.18	51.05	47.28
ENSDARG00000000796	1.35	32.6	26.78	34.9	24.59	17.84
ENSDARG00000000804	2.83	0.66	8.71	0	0	0
ENSDARG00000000830	12.33	11.17	7.22	8.31	11.68	10.92
ENSDARG00000000837	8.08	11.3	12	9.1	8.42	2.6
ENSDARG00000000853	61.92	56	49.75	72.59	70.28	65.4
ENSDARG00000000857	39.39	73.03	43.37	29.29	35.36	29.57
ENSDARG00000000861	65.77	42.28	57.45	42.33	40.46	60.09
ENSDARG00000000887	0	0	0.46	0	0	1.78
ENSDARG00000000906	5.18	9.09	5.59	4.47	7.58	1.88
ENSDARG00000000935	12.07	8.7	10.96	6.31	8.41	11.49
ENSDARG00000000943	4.46	10.19	9.4	18.44	15.59	6.76
ENSDARG00000000966	65.05	65.15	63.74	75.5	86.58	72.73
ENSDARG00000001014	60.83	45.13	106.09	23.83	33.05	17.24
ENSDARG00000001015	34.35	29.43	44.27	25.1	40.39	24.85
ENSDARG00000001057	53.92	48.37	58.75	49.37	59.26	60.13
ENSDARG00000001127	24.41	69.22	46.34	40.86	141.74	8.18
ENSDARG00000001129	24.78	17.44	23.46	20.81	24.2	18.43
ENSDARG00000001154	23.22	15.81	17.14	18.11	24.76	31.72
ENSDARG00000001162	74.98	52.36	55.95	66.83	66.92	118.85
ENSDARG00000001169	9.78	11.1	6.05	6.91	8.11	20.3
ENSDARG00000001210	29.09	29.59	24.94	42.65	29.64	43.46
ENSDARG00000001220	63.65	42.21	53.23	51.2	60.56	55.1
ENSDARG00000001234	18.64	8.63	8.2	11.85	6.02	12.04
ENSDARG00000001241	118.41	115.43	91.26	114.78	95.25	169.43
ENSDARG00000001244	302.54	312.66	369.77	426.45	424.85	568.82
ENSDARG00000001249	8.67	8.69	3.84	6.78	13.59	14.36
ENSDARG00000001259	1.58	2.64	3.39	2.71	2.12	1.17
ENSDARG00000001303	29.57	37.42	63.48	6	8.22	4.66
ENSDARG00000001313	0.23	0.99	1.45	0.16	0.6	0.1
ENSDARG00000001354	2.76	1.82	1.35	0.29	0.88	2.07
ENSDARG00000001414	1.41	0.59	1.67	0.71	0.38	0.22
ENSDARG00000001431	1.07	3.45	53.19	1.63	0.59	1.55
ENSDARG00000001437	124.92	48.57	48.08	44.68	37.25	11.93
ENSDARG00000001442	2.52	2.67	1.15	3.72	1.56	2.91
ENSDARG00000001447	9.64	7.52	9.9	10.39	12.11	13.71
ENSDARG00000001452	1.38	3.78	2.69	0.63	1.77	0.52
ENSDARG00000001463	8.64	11.11	5.83	12.08	10.44	29.75
ENSDARG00000001470	10.29	22.46	11.54	8.98	13.94	9.81
ENSDARG00000001498	1.59	2.24	1.32	2.49	0.58	1.21
ENSDARG00000001549	4.35	2.43	3.67	1.63	1.85	2.36
ENSDARG00000001557	25.27	23.61	21.35	29.46	25.44	22.44
ENSDARG00000001558	2.46	4.58	8.26	2.3	3.67	0.48
ENSDARG00000001559	17.38	12.56	14.9	18.33	20.97	9.27
ENSDARG00000001572	0	0.27	0	0	0	0
ENSDARG00000001578	65.61	60.36	45.2	65.64	52.95	70.62
ENSDARG00000001621	5.72	6.69	8.03	6.71	5.69	15.73
ENSDARG00000001634	19.43	21.96	22.27	41.9	35.63	22.73
ENSDARG00000001656	19.36	24.69	33.89	5.75	9.62	14.98
ENSDARG00000001676	178.98	124.7	108.04	88	83.29	35.16
ENSDARG00000001686	1.11	3.61	1.58	3.19	3.03	2.27
ENSDARG00000001710	57.39	51.33	34.95	63.4	67.94	84.51
ENSDARG00000001712	1.11	1.19	0	0.82	0.86	1.29
ENSDARG00000001721	0.23	4.09	0.13	1.16	1.23	0.05
ENSDARG00000001729	50.18	43.99	43.35	57.02	57.11	59.27
ENSDARG00000001733	14.88	26.84	8.79	18.32	15.17	9.48
ENSDARG00000001734	29.73	28.32	21.65	30.99	27.56	29.78
ENSDARG00000001754	10.87	7.84	15.39	6.31	12.45	6.07
ENSDARG00000001760	0.13	0.13	0	0.2	0.23	0
ENSDARG00000001767	2.09	1.82	11.34	0.75	0.94	0
ENSDARG00000001769	50.5	33.14	39.76	28.32	30.4	26.34
ENSDARG00000001771	0.8	0.49	0.19	0.7	0.99	0.72
ENSDARG00000001776	1.19	2.09	2.91	0.84	1.15	0.47
ENSDARG00000001777	24.3	20.87	36.56	16.16	19.76	18.74
ENSDARG00000001781	12.76	10.43	12.03	7.14	11.18	6.73
ENSDARG00000001782	5.73	8.72	6.05	7.69	4.41	7.73
ENSDARG00000001785	26.81	18.58	42.2	34.79	31.23	17.7
ENSDARG00000001788	1285.24	1104.13	996.89	1127.23	863.49	1231.07
ENSDARG00000001803	7.71	11.18	8.47	13.97	13.19	6.83
ENSDARG00000001804	3.78	8.76	6.14	3.26	5.79	6.94
ENSDARG00000001807	23.89	23.55	19.05	20.54	24.29	6.22
ENSDARG00000001817	11.68	9.78	10.18	6.71	7.39	3.88
ENSDARG00000001818	3.66	3.76	2.57	2.32	3.6	1.8
ENSDARG00000001825	0.81	1.94	1.72	1.8	2	0.77
ENSDARG00000001829	87.36	91.39	74.74	126.18	117.21	234.83
ENSDARG00000001835	25.89	50.63	34.06	68.11	73.74	30.16
ENSDARG00000001857	22.34	21.02	26.96	19.8	23.96	22.69
ENSDARG00000001859	0.88	5.32	8.37	6.46	3.26	1.46
ENSDARG00000001870	0.09	2.97	0.48	0.27	0.2	0.24
ENSDARG00000001873	27.19	32.84	29.96	24.12	16.03	6.99
ENSDARG00000001879	10.49	7.03	18.47	1.87	5.76	5.67
ENSDARG00000001880	10.64	8.56	9.57	7.12	6.8	7.32
ENSDARG00000001881	25.43	9.94	10.71	8.97	13.71	9.55
ENSDARG00000001882	0.38	0.25	1.33	0.73	0.34	0.52
ENSDARG00000001888	20.51	24.29	21.18	21.16	31.76	11.9
ENSDARG00000001889	1395.65	1589.42	1708.35	1467.26	1924.32	1323.66
ENSDARG00000001890	59.56	63.68	57.76	53.74	55.93	38.55
ENSDARG00000001891	15.82	5.21	8.31	7.39	11.85	21.92
ENSDARG00000001897	24.59	27.56	24.38	19.21	23.43	29.8
