gene_id	tpm_Tert_1	tpm_Tert_2	tpm_Tert_3	tpm_WT_1	tpm_WT_2	tpm_WT_3
ENSDARG00000000001	11.1	11.8	7.39	10.98	12.62	18.65
ENSDARG00000000002	3.05	12.55	5.9	3.17	2.76	2.76
ENSDARG00000000018	31.58	20.77	22.64	16.51	23.14	20.9
ENSDARG00000000019	102.41	74.83	84.75	65.74	96.31	87.14
ENSDARG00000000068	27.66	20.79	16.26	15.69	24.54	17.58
ENSDARG00000000069	105.87	234.85	150.15	139.56	126.96	177.82
ENSDARG00000000086	57.97	45.33	52.95	62.37	53.93	60.04
ENSDARG00000000103	75.78	65.72	44.77	74.9	65.29	72.97
ENSDARG00000000142	25.41	40.71	29.42	39.81	25.09	40.39
ENSDARG00000000151	9.53	10.61	11.86	14.5	13.39	11.51
ENSDARG00000000161	7.39	7.94	7.29	10.25	9.33	12.17
ENSDARG00000000175	11.5	2	9.58	10.24	0.5	10.06
ENSDARG00000000183	40.31	38.23	32.34	49.15	52.27	49.26
ENSDARG00000000189	42.64	41.36	53.75	53.61	38.92	50.95
ENSDARG00000000212	975.26	19.91	5064.24	0.84	6.67	2.46
ENSDARG00000000229	9.54	10.14	11.15	6.55	12.1	10.9
ENSDARG00000000241	34.17	31.18	28.19	30.19	25.45	34.04
ENSDARG00000000349	0.67	1.78	0.99	1.62	0.5	4.82
ENSDARG00000000369	0.58	0.34	0.78	0	0.46	0
ENSDARG00000000370	51.24	43.14	32.28	55.33	52.28	67.19
ENSDARG00000000380	1.02	1.04	0.65	0.94	44.02	1.31
ENSDARG00000000394	53.76	54.39	48.14	60.63	58.36	51.24
ENSDARG00000000423	14.89	21.36	15.46	22.51	20.78	17.41
ENSDARG00000000442	16.26	20.75	14.51	14.51	15.58	12.54
ENSDARG00000000460	0.37	0.24	0.43	1.33	0.5	0
ENSDARG00000000472	28.3	26.61	17.62	35.54	31.31	32.04
ENSDARG00000000474	0	0	0	0	0	0.12
ENSDARG00000000476	2.98	3.54	3.72	3.28	3.08	2.45
ENSDARG00000000489	21.63	24.64	29.99	19.02	17.83	21.4
ENSDARG00000000503	321.17	180.95	150.8	342.63	312.53	266.92
ENSDARG00000000516	0.17	0.54	0.55	0.13	0.31	0.3
ENSDARG00000000529	9.32	8.35	8.55	9.48	10.65	8.1
ENSDARG00000000540	27.54	27.97	20.82	25.54	28.52	22.82
ENSDARG00000000542	20.29	24.43	20.22	20.45	20.11	22.5
ENSDARG00000000551	47.84	71.97	39.54	54.21	48.95	76.26
ENSDARG00000000563	0.22	0.14	3.08	0.12	0.17	0.04
ENSDARG00000000567	6.5	7.37	7.33	5.43	7.75	6.18
ENSDARG00000000568	50.63	22.4	29.84	26.35	35.65	24.56
ENSDARG00000000588	7.24	12.01	5.21	9.58	6.78	15.36
ENSDARG00000000606	0.64	1.83	1.17	1.68	1.2	2.02
ENSDARG00000000631	36.54	20.71	29.68	23.06	37	30.58
ENSDARG00000000638	0	0	0	0	0.45	0
ENSDARG00000000651	3.46	5.72	2.69	4.52	5.01	4.05
ENSDARG00000000656	13.6	23.14	36.07	4.24	4.53	4.74
ENSDARG00000000666	52.4	68.92	46.43	58.75	45.89	60.35
ENSDARG00000000690	4.09	6.86	4.54	2.49	3.14	3.62
ENSDARG00000000729	16.93	14.22	19.43	10.43	15.41	11.64
